Brand, ProductName, ShippingPrice
ASRock,ASRock Phantom Gaming D3 Radeon RX 5600 XT RX5600XT PGD3 6GO 6GB (14Gbps) 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
Sapphire Tech,Sapphire Pulse RX 5600 XT BE 6GB GDDR6 PCI-E DUAL HDMI / DUAL DP OC w/ Backplate (UEFI),$3.99 Shipping
ASRock,ASRock Phantom Gaming D Radeon RX 580 DirectX 12 RX580 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$3.99 Shipping
ASRock,ASRock Challenger Pro Radeon RX 5600 XT DirectX 12 RX5600XT CLP 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-4GD 4GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD (rev. 2.0) 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-8GD Rev 2.0 8GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,Free Shipping
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 Ti GAMING 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1650 SUPER SC Ultra Black GAMING Video Card| 04G-P4-1355-KR| 4GB GDDR6,$3.99 Shipping
XFX,XFX Radeon RX 5600 XT THICC III PRO - RX-56XT6TF48 Video Card - 14GBPS 6GB BOOST UP TO 1750M D6 3xDP HDMI,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,Free Shipping
ASUS,ASUS Dual GeForce RTX 2060 DirectX 12 DUAL-RTX2060-O6G-MINI 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060IXOC-6GD rev. 2.0 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ITX Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1650 SC ULTRA GAMING GDDR6| 04G-P4-1257-KR| 4GB GDDR6| Dual Fan| Metal Backplate,$2.99 Shipping
XFX,XFX GTS Black Edition RX 580 8GB OC+ 1425MHz RX-580P8DBD6 DDR5 3xDP HDMI DVI With XFX Custom Backplate,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5500 XT DirectX 12 100418P8GL 8GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card,$6.99 Shipping
EVGA,EVGA GeForce GTX 1660 Ti XC GAMING| 06G-P4-1263-KR| 6GB GDDR6| HDB Fan,Free Shipping
Sapphire Tech,Sapphire Pulse RX 5600 XT BE 6GB GDDR6 PCI-E DUAL HDMI / DUAL DP OC w/ Backplate (UEFI),Free Shipping
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
MSI,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT GAMING X 8G 8GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6GD 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
XFX,XFX THICC II Pro Radeon RX 5500 XT RX-55XT8DFD6 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5500 XT DirectX 12 100418NT+8GSEL 8GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card| Special Edition,$3.99 Shipping
